Faculty,Department,UTME_Score,Post_UTME_Score,Aggregate_Score,Olevel_Valid,Sittings,Admission_Status,Olevel_Grades
Basic Medical Sciences,Anatomy,173,1.26,40.89,True,2,not admitted,"A1, C6, A1, A1, A1"
Social Sciences,Geography,386,28.99,91.24,True,1,admitted,"B3, B3, C4, C5, C5"
Environmental Sciences,Urban and Regional Planning,184,20.38,58.58,True,2,admitted,"C5, B3, B3, B3, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,270,27.01,75.56,True,1,admitted,"C5, C6, B3, A1, B3"
Agriculture,Crop Protection,382,18.92,81.87,True,1,admitted,"A1, C4, A1, C6, C5"
Education,Adult and Primary Education,148,15.41,49.91,True,2,not admitted,"B2, C6, C5, A1, A1"
Social Sciences,Political Science,243,17.63,61.2,True,2,admitted,"B3, C5, C5, C5, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,371,9.43,69.41,True,1,admitted,"C5, B3, C5, B3, C5"
Law,Law,201,25.21,64.73,True,2,admitted,"B3, B3, C4, C4, C5"
Environmental Sciences,Architecture,194,18.44,56.69,True,2,admitted,"C5, C4, B2, C4, C5"
Pharmaceutical Sciences,Pharmacy,345,11.17,68.3,True,2,admitted,"C4, C5, B3, C6, B2"
Physical Sciences,Industrial Chemistry,157,4.19,37.41,True,1,not admitted,"A1, C4, C6, C5, C5"
Veterinary Medicine,Veterinary Medicine,194,4.63,42.88,True,1,not admitted,"C4, B2, B2, C6, C6"
Physical Sciences,Industrial Chemistry,314,7.87,61.12,True,2,admitted,"C4, B2, C6, B2, C6"
Communication and Information Sciences,Computer Science,319,18.35,76.22,True,2,admitted,"C4, B2, A1, A1, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,212,28.91,71.81,True,1,admitted,"C4, C4, B3, A1, B2"
Arts,English,249,25.21,71.94,True,1,admitted,"C5, A1, C6, B2, B2"
Management Sciences,Public Administration,260,22.34,72.44,True,1,admitted,"C4, A1, B2, B2, B2"
Basic Medical Sciences,Biomedical Science,187,26.59,64.77,True,2,admitted,"C5, B2, C6, B3, B2"
Management Sciences,Public Administration,231,19.6,63.28,True,1,admitted,"C4, B2, B3, C4, C5"
Basic Medical Sciences,Biomedical Science,207,20.96,61.23,True,2,admitted,"C5, A1, C4, C6, B3"
Clinical Sciences,Nursing Science,306,11.64,65.49,True,1,admitted,"B2, B2, C6, A1, C5"
Engineering and Technology,Materials & Metallurgical Engineering,205,19.57,58.79,True,2,admitted,"C5, C6, C6, A1, B3"
Veterinary Medicine,Veterinary Medicine,326,18.26,73.41,True,1,admitted,"C5, C4, B3, B3, C4"
Arts,Yoruba,264,10.83,55.83,True,1,admitted,"C6, C5, C6, C5, B3"
Management Sciences,Accounting,243,21.91,65.48,True,1,admitted,"B3, C4, C5, C4, C6"
Clinical Sciences,Nursing Science,198,9.54,49.49,True,1,not admitted,"B3, C5, C6, A1, B2"
Agriculture,Animal Production,328,6.33,59.73,True,1,admitted,"C6, C5, C6, C6, A1"
Agriculture,Forest Resources Management,342,14.56,72.51,True,2,admitted,"B2, B3, C6, C5, A1"
Environmental Sciences,Urban and Regional Planning,186,28.85,64.5,True,2,admitted,"C5, B3, C5, C5, C6"
Agriculture,Crop Protection,386,1.1,66.55,True,1,admitted,"C4, C4, A1, B2, A1"
Physical Sciences,Mathematics,223,29.89,74.97,True,1,admitted,"A1, C5, B3, B2, A1"
Life Sciences,Microbiology,196,20.93,60.63,True,1,admitted,"C4, B2, C4, B2, C5"
Communication and Information Sciences,Computer Science,354,18.83,78.68,True,2,admitted,"C4, C4, B3, B2, B3"
Life Sciences,Zoology,230,11.33,52.08,True,1,admitted,"C4, C6, C4, C5, C6"
Pharmaceutical Sciences,Pharmacy,292,1.64,53.74,True,1,admitted,"C4, C5, B3, B3, A1"
Law,Law,173,3.37,40.2,True,1,not admitted,"B2, B3, C6, A1, C5"
Management Sciences,Finance,190,5.91,44.06,True,2,not admitted,"B3, B3, C5, C4, C4"
Education,Adult and Primary Education,292,6.73,58.83,True,1,admitted,"B2, B2, C6, B3, B3"
Physical Sciences,Mathematics,198,2.5,40.85,True,2,not admitted,"B3, B2, C4, C6, C6"
Veterinary Medicine,Veterinary Medicine,342,22.93,78.88,True,1,admitted,"C6, C5, A1, C6, C4"
Agriculture,Agronomy,302,6.33,57.68,True,2,admitted,"B2, B2, C6, C6, C5"
Physical Sciences,Statistics,333,18.88,75.7,True,1,admitted,"C5, B2, C5, C4, A1"
Veterinary Medicine,Veterinary Medicine,388,12.1,77.4,True,1,admitted,"A1, C4, C5, A1, B2"
Agriculture,Agronomy,344,14.14,70.34,True,2,admitted,"C6, A1, C6, C6, B3"
Environmental Sciences,Quantity Surveying,153,13.09,48.22,True,2,not admitted,"A1, B2, C4, B2, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,331,13.75,72.33,True,1,admitted,"B3, A1, A1, C6, A1"
Management Sciences,Marketing,398,28.34,92.49,True,2,admitted,"C5, B2, A1, C6, C5"
Basic Medical Sciences,Biomedical Science,365,0.93,61.75,True,2,admitted,"B3, C4, A1, C5, C4"
Law,Law,228,3.41,47.51,True,2,not admitted,"C6, C5, B3, A1, A1"
Agriculture,Forest Resources Management,242,19.16,61.81,True,2,admitted,"C4, B2, C6, C6, C6"
Arts,English,293,2.38,52.2,True,1,admitted,"C6, C6, B3, B2, C5"
Engineering and Technology,Chemical Engineering,296,7.0,60.8,True,1,admitted,"C6, C4, A1, A1, A1"
Social Sciences,Economics,322,26.66,81.71,True,2,admitted,"C4, C4, C6, A1, B3"
Environmental Sciences,Urban and Regional Planning,337,9.1,68.83,True,1,admitted,"A1, A1, C4, B3, B2"
Agriculture,Agronomy,311,23.06,74.73,True,2,admitted,"C6, B3, C4, C6, C4"
Basic Medical Sciences,Physiology,331,11.37,69.55,True,1,admitted,"A1, C5, A1, A1, C5"
Basic Medical Sciences,Physiology,360,16.54,77.14,True,1,admitted,"C5, B2, C6, A1, B2"
Engineering and Technology,Electrical and Electronics Engineering,389,3.56,64.19,True,1,admitted,"A1, C6, C6, C6, C6"
Agriculture,Forest Resources Management,386,11.02,74.87,True,2,admitted,"A1, B2, C6, C6, A1"
Communication and Information Sciences,Computer Science,246,18.39,64.74,True,2,admitted,"C5, B2, C4, B2, B3"
Pharmaceutical Sciences,Pharmacy,335,7.31,67.59,True,1,admitted,"B2, A1, A1, A1, C4"
Engineering and Technology,Computer Engineering,186,2.78,41.23,True,2,not admitted,"A1, A1, C5, C6, C4"
Management Sciences,Industrial Relations and Personnel Management,173,1.21,39.64,True,1,not admitted,"A1, B2, C6, B3, A1"
Life Sciences,Microbiology,349,21.77,78.19,True,1,admitted,"C6, C5, B3, C5, C4"
Life Sciences,Microbiology,326,25.57,79.12,True,2,admitted,"C4, C5, C4, C6, C4"
Communication and Information Sciences,Information and Communication Science,273,29.11,75.64,True,1,admitted,"B2, C6, C4, C6, C6"
Veterinary Medicine,Veterinary Medicine,360,17.9,76.9,True,1,admitted,"C6, B2, B2, C4, C6"
Management Sciences,Accounting,340,4.71,62.01,True,1,admitted,"C6, B2, B2, C4, C4"
Pharmaceutical Sciences,Pharmacy,157,26.8,64.82,True,2,not admitted,"A1, A1, C4, A1, B2"
Education,Social Sciences Education,207,13.85,56.92,True,1,admitted,"C4, B3, A1, B3, A1"
Physical Sciences,Industrial Chemistry,202,2.95,44.2,True,2,not admitted,"B3, C5, B2, B3, B2"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,168,16.43,53.43,True,2,not admitted,"C5, B3, C5, A1, A1"
Social Sciences,Political Science,217,16.26,60.19,True,2,admitted,"B3, A1, C5, B3, A1"
Pharmaceutical Sciences,Pharmacy,178,5.7,44.75,True,2,not admitted,"A1, A1, B2, C6, B3"
Education,Counsellor Education,159,16.18,48.86,True,1,not admitted,"C5, B2, C6, C4, C6"
Education,Science Education,295,15.46,65.53,True,1,admitted,"C6, C5, C4, B2, C5"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,359,2.24,62.31,True,2,admitted,"C5, B3, B3, B2, C4"
Management Sciences,Marketing,267,13.64,59.81,True,1,admitted,"C6, C6, A1, C6, C4"
Law,Law,397,22.11,87.73,True,2,admitted,"A1, A1, C4, C6, B3"
Physical Sciences,Mathematics,319,16.3,73.38,True,1,admitted,"C4, B2, B3, A1, B2"
Communication and Information Sciences,Computer Science,207,1.59,43.46,True,2,not admitted,"B3, C5, B2, C4, A1"
Pharmaceutical Sciences,Pharmacy,197,28.9,68.72,True,2,admitted,"C6, C4, B2, B2, B3"
Education,Educational Technology,275,1.95,51.93,True,1,admitted,"C5, B3, C4, B2, B2"
Basic Medical Sciences,Anatomy,218,19.79,59.84,True,2,admitted,"C6, C5, C6, B3, B3"
Life Sciences,Plant Biology,153,3.02,36.14,True,1,not admitted,"C5, B2, C6, B3, C4"
Management Sciences,Business Administration,396,0.17,64.87,True,2,admitted,"C4, B3, C4, B3, B3"
Basic Medical Sciences,Anatomy,203,14.37,56.55,True,2,admitted,"B2, B3, A1, C4, B3"
Engineering and Technology,Water Resources & Environmental Engineering,366,11.95,74.1,True,1,admitted,"B2, C5, C5, A1, A1"
Veterinary Medicine,Veterinary Medicine,229,15.64,57.06,True,2,admitted,"A1, C6, C4, C6, C6"
Pharmaceutical Sciences,Pharmacy,363,6.63,66.41,True,2,admitted,"B3, C5, C4, C6, A1"
Communication and Information Sciences,Library and Information Science,286,0.05,50.6,True,2,admitted,"A1, C6, C6, C4, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,151,24.31,58.39,True,1,not admitted,"C4, C6, A1, C5, A1"
Education,Educational Technology,246,21.91,68.26,True,2,admitted,"C4, C4, B3, A1, C4"
Social Sciences,Economics,278,24.95,74.1,True,2,admitted,"C4, B2, C6, B3, C4"
Communication and Information Sciences,Computer Science,388,0.32,63.62,True,2,admitted,"C6, B2, C4, B2, C4"
Law,Law,228,12.16,54.66,True,2,admitted,"B2, C6, C6, B3, B3"
Basic Medical Sciences,Anatomy,294,7.29,60.44,True,2,admitted,"A1, C5, C5, B2, A1"
Pharmaceutical Sciences,Pharmacy,400,5.3,67.7,True,2,admitted,"C6, C5, C5, B3, C5"
Environmental Sciences,Architecture,380,7.45,70.95,True,2,admitted,"B2, A1, B2, C5, C5"
Management Sciences,Marketing,368,26.17,84.97,True,2,admitted,"B3, C6, B3, C5, C6"
Education,Health Promotion and Environmental Health Education,183,4.21,43.89,True,2,not admitted,"B3, C5, B3, A1, A1"
Social Sciences,Economics,276,6.08,57.38,True,2,admitted,"A1, C4, B2, C5, A1"
Law,Law,378,13.31,73.36,True,1,admitted,"A1, C6, C5, C5, C6"
Pharmaceutical Sciences,Pharmacy,313,22.3,77.42,True,1,admitted,"C4, B3, C4, A1, B3"
Agriculture,Animal Production,380,17.71,81.61,True,2,admitted,"A1, B3, B2, C4, C4"
Basic Medical Sciences,Anatomy,244,24.3,70.8,True,1,admitted,"B2, B2, C5, B2, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,250,22.17,66.22,True,1,admitted,"C4, C4, C6, B3, C6"
Life Sciences,Plant Biology,289,21.12,72.45,True,2,admitted,"C6, C4, C4, A1, B2"
Social Sciences,Geography,393,17.53,80.66,True,1,admitted,"C6, C6, C4, A1, B3"
Veterinary Medicine,Veterinary Medicine,180,12.31,48.41,True,1,not admitted,"C6, A1, C5, C4, C5"
Law,Law,269,21.01,71.84,True,1,admitted,"A1, A1, A1, C4, C5"
Basic Medical Sciences,Physiology,384,24.82,87.62,True,2,admitted,"C6, C6, B2, B2, B2"
Pharmaceutical Sciences,Pharmacy,193,28.55,65.88,True,2,admitted,"B2, C5, C6, C6, B3"
Engineering and Technology,Chemical Engineering,313,23.98,76.7,True,1,admitted,"B3, C5, C6, C5, B2"
Pharmaceutical Sciences,Pharmacy,179,2.2,40.97,True,2,not admitted,"B3, B3, B2, A1, C5"
Management Sciences,Marketing,144,0.32,35.12,True,1,not admitted,"C5, A1, B3, B3, A1"
Basic Medical Sciences,Biomedical Science,225,26.53,68.25,True,1,admitted,"C6, B2, A1, C6, C6"
Life Sciences,Microbiology,360,29.73,88.73,True,1,admitted,"C6, B3, B2, C6, B3"
Pharmaceutical Sciences,Pharmacy,187,14.6,48.38,True,1,not admitted,"C6, C6, C6, C5, C6"
Arts,History and International Studies,371,15.03,78.61,True,1,admitted,"A1, B2, C4, C4, A1"
Law,Law,283,29.93,82.11,True,2,admitted,"C6, A1, A1, A1, C4"
Clinical Sciences,Medicine and Surgery,376,15.63,76.63,True,2,admitted,"C5, A1, C6, B2, C6"
Clinical Sciences,Nursing Science,169,27.02,61.34,True,2,not admitted,"B3, B3, C5, C5, C6"
Law,Law,161,17.63,52.95,True,1,not admitted,"C4, B2, B2, C6, B3"
Social Sciences,Political Science,375,15.81,77.09,True,2,admitted,"C5, C6, C5, B2, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,240,27.74,74.94,True,1,admitted,"C4, A1, B2, C4, A1"
Education,Science Education,317,18.38,72.8,True,2,admitted,"B3, B3, B3, C6, B3"
Law,Law,192,20.91,58.51,True,1,admitted,"B2, C6, B3, C5, C5"
Life Sciences,Microbiology,221,4.48,46.11,True,1,not admitted,"B3, C4, C5, C4, C4"
Clinical Sciences,Nursing Science,196,26.13,64.23,True,2,admitted,"C6, B3, B2, C5, C5"
Education,Counsellor Education,225,29.61,74.53,True,1,admitted,"C4, A1, C5, B2, A1"
Law,Law,259,12.61,60.19,True,2,admitted,"C6, B2, C4, A1, C4"
Pharmaceutical Sciences,Pharmacy,201,0.18,38.1,True,1,not admitted,"C5, C6, B3, C4, C5"
Education,Science Education,329,25.9,81.43,True,1,admitted,"C5, C4, C5, C4, A1"
Law,Law,179,0.2,38.97,True,2,not admitted,"C4, B3, A1, B2, C4"
Veterinary Medicine,Veterinary Medicine,184,4.17,40.37,True,2,not admitted,"C5, B3, B3, C5, C6"
Engineering and Technology,Agricultural and Biosystems Engineering,317,2.91,58.93,True,2,admitted,"A1, C5, B3, B3, B2"
Environmental Sciences,Architecture,169,16.32,54.64,True,2,not admitted,"A1, A1, B3, B2, C5"
Arts,English,192,18.02,57.22,True,1,admitted,"C6, C6, A1, A1, B3"
Education,Health Promotion and Environmental Health Education,350,5.63,63.78,True,2,admitted,"C6, B2, C4, C5, B2"
Life Sciences,Microbiology,316,0.18,52.48,True,1,admitted,"B3, C5, C4, C6, C5"
Arts,Performing Arts,156,17.7,53.2,True,2,not admitted,"B3, B3, A1, C4, C4"
Engineering and Technology,Computer Engineering,391,6.01,70.08,True,2,admitted,"B2, C5, C4, C5, A1"
Physical Sciences,Geology,227,13.47,57.84,True,1,admitted,"C5, B3, A1, C5, A1"
Basic Medical Sciences,Anatomy,189,4.17,44.59,True,2,not admitted,"A1, A1, B3, C5, B3"
Communication and Information Sciences,Telecommunication Science,340,11.49,70.79,True,2,admitted,"C6, B2, A1, B3, A1"
Engineering and Technology,Water Resources & Environmental Engineering,276,16.83,64.13,True,1,admitted,"C6, B3, C4, C5, C5"
Clinical Sciences,Nursing Science,264,1.97,50.57,True,2,admitted,"C6, C4, A1, C4, A1"
Physical Sciences,Geology,284,9.39,62.89,True,2,admitted,"A1, C4, A1, A1, B3"
Communication and Information Sciences,Telecommunication Science,148,14.54,50.24,True,1,not admitted,"A1, C4, A1, B2, C4"
Environmental Sciences,Estate Management,216,25.64,67.84,True,2,admitted,"B3, C4, B2, C5, B3"
Life Sciences,Microbiology,223,27.11,70.59,True,1,admitted,"C4, B3, B2, C4, B3"
Basic Medical Sciences,Physiology,287,29.47,81.75,True,2,admitted,"B3, B3, C4, A1, B3"
Law,Law,190,19.46,60.01,True,2,admitted,"C5, B2, B2, A1, B3"
Pharmaceutical Sciences,Pharmacy,385,8.53,73.06,True,1,admitted,"C5, C6, A1, A1, A1"
Clinical Sciences,Medicine and Surgery,318,21.5,76.05,True,1,admitted,"C6, C4, B2, C4, B2"
Basic Medical Sciences,Anatomy,233,2.85,49.17,True,2,not admitted,"B2, C5, A1, B2, B2"
Social Sciences,Economics,342,2.43,61.58,True,1,admitted,"B2, C5, B3, A1, B3"
Communication and Information Sciences,Telecommunication Science,394,0.84,66.49,True,2,admitted,"A1, A1, B3, B3, C6"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,251,13.36,61.53,True,2,admitted,"B3, A1, C5, B2, B2"
Environmental Sciences,Quantity Surveying,386,19.87,82.12,True,1,admitted,"B3, C5, C4, C6, B2"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,199,1.75,43.02,True,1,not admitted,"B2, C4, C5, B2, A1"
Engineering and Technology,Chemical Engineering,159,27.8,62.07,True,2,not admitted,"C4, C5, C4, A1, C5"
Pharmaceutical Sciences,Pharmacy,341,28.66,86.08,True,2,admitted,"C5, C5, B3, A1, C4"
Clinical Sciences,Medicine and Surgery,163,22.24,57.41,True,2,not admitted,"C4, C4, B2, C6, B2"
Law,Law,284,1.25,51.55,True,2,admitted,"C6, B2, B3, C5, B2"
Physical Sciences,Physics,299,26.5,77.47,True,2,admitted,"B2, C4, C5, C6, C4"
Agriculture,Agronomy,206,19.73,63.88,True,1,admitted,"A1, A1, B2, B3, B2"
Basic Medical Sciences,Physiology,311,7.4,63.47,True,2,admitted,"B2, A1, C6, B2, A1"
Arts,Yoruba,360,18.34,78.94,True,2,admitted,"B3, A1, C6, C5, A1"
Management Sciences,Industrial Relations and Personnel Management,307,5.08,59.05,True,2,admitted,"C4, B3, C4, B3, B2"
Agriculture,Animal Production,317,15.42,69.44,True,1,admitted,"A1, C5, B2, C5, C6"
Communication and Information Sciences,Computer Science,171,16.48,55.06,True,2,not admitted,"B2, B3, B2, B2, B3"
Arts,Religions (Christian/Islamic/Comparative),267,11.52,63.69,True,1,admitted,"B3, A1, A1, A1, B2"
Law,Law,365,15.24,76.47,True,1,admitted,"C6, A1, A1, C4, C4"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,291,0.46,50.84,True,2,admitted,"C5, A1, C4, C4, C6"
Physical Sciences,Geophysics,315,0.08,53.85,True,1,admitted,"A1, C4, C6, C4, C4"
Clinical Sciences,Nursing Science,300,15.72,70.02,True,2,admitted,"A1, A1, A1, C5, C5"
Social Sciences,Political Science,166,24.55,60.1,True,1,not admitted,"B2, B2, C5, B3, C6"
Law,Law,182,6.71,44.66,True,2,not admitted,"B2, B2, C6, C6, A1"
Pharmaceutical Sciences,Pharmacy,142,5.15,38.9,True,1,not admitted,"A1, B2, B3, C5, C4"
Engineering and Technology,Materials & Metallurgical Engineering,276,10.01,59.31,True,1,admitted,"B2, C6, A1, B3, C6"
Basic Medical Sciences,Biomedical Science,276,9.05,61.55,True,1,admitted,"B2, A1, A1, B2, C4"
Veterinary Medicine,Veterinary Medicine,338,10.58,70.03,True,1,admitted,"B3, A1, A1, A1, C6"
Basic Medical Sciences,Biomedical Science,355,16.39,75.16,True,2,admitted,"C5, B2, C5, B2, C5"
Arts,History and International Studies,234,12.24,53.89,True,1,admitted,"C4, C5, C5, C4, C6"
Management Sciences,Public Administration,287,24.96,77.64,True,1,admitted,"C5, B2, B3, A1, B2"
Life Sciences,Zoology,274,10.6,60.85,True,1,admitted,"C5, A1, A1, C4, C4"
Basic Medical Sciences,Anatomy,177,8.97,46.7,True,1,not admitted,"B3, B2, C5, C5, A1"
Engineering and Technology,Computer Engineering,217,17.34,57.67,True,1,admitted,"C5, C6, B3, B2, C6"
Pharmaceutical Sciences,Pharmacy,315,17.56,72.14,True,2,admitted,"A1, C4, C5, C6, A1"
Arts,English,376,7.62,71.02,True,2,admitted,"B2, B2, A1, C4, C5"
Social Sciences,Psychology,364,25.75,85.25,True,2,admitted,"B3, B3, C6, C5, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,182,0.96,40.51,True,1,not admitted,"C4, B3, B3, A1, B2"
Law,Law,262,26.97,72.52,True,1,admitted,"A1, C6, C6, C4, C6"
Education,Educational Management,268,3.7,51.2,True,2,admitted,"C6, C4, B2, C5, B3"
Social Sciences,Geography,258,2.66,48.51,True,2,not admitted,"B3, B3, C6, C5, C4"
Environmental Sciences,Architecture,336,9.73,68.13,True,2,admitted,"C4, A1, A1, B2, C6"
Environmental Sciences,Surveying and Geo-informatics,367,24.67,86.55,True,2,admitted,"C5, B3, C4, A1, B2"
Social Sciences,Sociology,233,11.37,57.69,True,2,admitted,"B3, B3, B3, A1, B2"
Pharmaceutical Sciences,Pharmacy,255,10.91,55.58,True,2,admitted,"C6, C5, B3, C6, B3"
Arts,Linguistics and Nigerian Languages,318,4.46,57.01,True,1,admitted,"C6, B2, C5, C6, C4"
Basic Medical Sciences,Biomedical Science,274,21.05,69.3,True,1,admitted,"B3, C6, C5, A1, C5"
Management Sciences,Industrial Relations and Personnel Management,228,10.13,53.83,True,1,admitted,"C6, A1, A1, C5, C4"
Arts,French,232,18.12,61.52,True,1,admitted,"B3, B3, B3, C4, C6"
Environmental Sciences,Estate Management,288,17.59,65.19,True,2,admitted,"C4, C5, C6, C5, C6"
Environmental Sciences,Estate Management,153,4.82,41.14,True,1,not admitted,"C4, A1, B3, A1, B3"
Veterinary Medicine,Veterinary Medicine,385,23.5,86.83,True,2,admitted,"C5, B2, C4, B2, C4"
Agriculture,Home Economics and Food Science,240,7.7,54.5,True,2,admitted,"C5, A1, B2, B2, B3"
Clinical Sciences,Nursing Science,227,4.47,46.44,True,2,not admitted,"C5, C5, B2, B3, C6"
Life Sciences,Microbiology,263,9.98,58.86,True,1,admitted,"B2, A1, C5, C6, A1"
Physical Sciences,Mathematics,205,2.59,42.21,True,1,not admitted,"B3, C4, C4, B3, C6"
Pharmaceutical Sciences,Pharmacy,252,27.84,72.94,True,1,admitted,"C5, C5, C6, A1, C4"
Pharmaceutical Sciences,Pharmacy,304,23.93,78.33,True,2,admitted,"C5, B3, B3, A1, B2"
Veterinary Medicine,Veterinary Medicine,164,11.52,46.02,True,1,not admitted,"C6, C5, B3, A1, C5"
Clinical Sciences,Medicine and Surgery,308,26.14,80.24,True,2,admitted,"C6, B3, C4, B2, A1"
Arts,Arabic,217,26.08,66.8,True,1,admitted,"C5, C5, C6, B3, B2"
Education,Arts Education,374,21.66,82.01,True,2,admitted,"C5, C6, B2, C5, B3"
Engineering and Technology,Agricultural and Biosystems Engineering,170,12.38,47.63,True,2,not admitted,"A1, C4, C4, C6, C5"
Agriculture,Home Economics and Food Science,351,17.96,76.64,True,1,admitted,"C6, C5, A1, B2, C4"
Arts,English,383,4.5,69.17,True,2,admitted,"B2, B2, C4, B2, B3"
Agriculture and Renewable Natural Resources,Fisheries and Aquaculture,189,18.21,57.44,True,1,admitted,"B2, C4, C6, A1, B3"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,392,17.86,82.86,True,1,admitted,"C4, A1, B2, C4, C4"
Communication and Information Sciences,Telecommunication Science,216,24.94,67.54,True,1,admitted,"A1, C5, C6, B3, A1"
Agriculture and Renewable Natural Resources,Forestry and Wildlife Management,210,13.74,57.19,True,1,admitted,"B3, C4, B2, A1, B2"
Veterinary Medicine,Veterinary Medicine,358,18.03,76.78,True,1,admitted,"C6, A1, C4, C4, C5"
Arts,Yoruba,230,10.14,53.29,True,1,admitted,"C5, C5, A1, C4, C4"
Arts,Religions (Christian/Islamic/Comparative),153,23.81,58.14,True,1,not admitted,"C6, C4, B2, B3, B2"
Basic Medical Sciences,Physiology,372,21.34,82.24,True,1,admitted,"B2, C6, C5, A1, C5"
Management Sciences,Accounting,270,13.6,63.35,True,1,admitted,"B3, C4, C4, B3, A1"
Education,Counsellor Education,234,17.79,63.04,True,2,admitted,"A1, B3, B2, B3, C6"
Basic Medical Sciences,Physiology,318,14.46,68.21,True,2,admitted,"B2, C6, C6, C5, A1"
Law,Law,222,18.15,61.5,True,1,admitted,"C5, B3, A1, A1, C6"
Education,Adult and Primary Education,375,8.54,70.61,True,1,admitted,"C5, B3, B3, B2, C4"
Physical Sciences,Chemistry,342,18.15,74.5,True,2,admitted,"B3, C6, B2, C4, C6"
Pharmaceutical Sciences,Pharmacy,268,22.99,72.89,True,1,admitted,"A1, A1, A1, C5, C6"
Agriculture,Agricultural Extension and Rural Development,191,12.51,53.19,True,1,admitted,"C5, A1, B3, B3, A1"
Physical Sciences,Physics,198,13.73,50.48,True,2,admitted,"C5, C6, C6, C6, B2"
Basic Medical Sciences,Physiology,306,16.73,69.38,True,2,admitted,"B2, C6, B3, B3, C5"
Law,Law,307,23.61,77.59,True,2,admitted,"C6, B3, B3, B3, A1"
Life Sciences,Microbiology,207,8.78,49.05,True,1,not admitted,"C6, B2, B3, C4, C4"
Education,Arts Education,388,28.3,92.0,True,2,admitted,"C6, B2, B2, C6, A1"
Education,Educational Technology,283,26.03,75.41,True,2,admitted,"C5, B2, C4, C6, B3"
Pharmaceutical Sciences,Pharmacy,142,19.45,53.2,True,1,not admitted,"A1, B3, C5, C4, B2"
Communication and Information Sciences,Library and Information Science,373,13.08,73.3,True,1,admitted,"C5, C5, C5, C5, A1"
Communication and Information Sciences,Library and Information Science,345,21.53,79.86,True,1,admitted,"C6, B2, C5, B3, A1"
Management Sciences,Finance,364,27.6,85.5,True,2,admitted,"C4, C6, C6, C4, C4"
Arts,History and International Studies,389,22.21,84.84,True,1,admitted,"B3, C4, A1, C6, C6"
Life Sciences,Zoology,184,12.79,50.19,True,1,admitted,"C5, B2, C4, C4, C4"
Clinical Sciences,Nursing Science,251,21.98,66.16,True,1,admitted,"C5, B3, C5, C6, C4"
Pharmaceutical Sciences,Pharmacy,304,25.9,79.9,True,2,admitted,"B2, B2, C6, A1, C4"
Pharmaceutical Sciences,Pharmacy,262,6.78,53.93,True,1,admitted,"B3, B2, C4, C6, C4"
Engineering and Technology,Materials & Metallurgical Engineering,364,24.81,85.11,True,2,admitted,"B3, B2, C5, C4, C4"
Management Sciences,Industrial Relations and Personnel Management,332,21.25,79.15,True,1,admitted,"B3, A1, C5, B2, B3"
Education,Educational Management,154,13.13,48.38,True,2,not admitted,"C4, A1, B2, C4, C4"
Social Sciences,Social Work,377,18.48,77.61,True,2,admitted,"A1, C6, C6, C6, C6"
Arts,Yoruba,314,22.2,73.45,True,1,admitted,"B3, C6, C5, C5, C6"
Clinical Sciences,Nursing Science,172,20.07,56.37,True,2,not admitted,"C5, C5, C4, A1, B3"
Life Sciences,Plant Biology,200,29.98,68.18,True,1,admitted,"C6, C5, C6, C4, A1"
Veterinary Medicine,Veterinary Medicine,163,11.48,48.66,True,1,not admitted,"B2, C4, B3, B3, A1"
Communication and Information Sciences,Telecommunication Science,209,27.33,66.25,True,2,admitted,"C5, C5, C6, C5, B2"
Basic Medical Sciences,Physiology,319,5.77,60.04,True,1,admitted,"B2, C6, A1, C4, C6"
Law,Law,174,10.01,47.76,True,1,not admitted,"C6, B3, A1, B3, B2"
Communication and Information Sciences,Computer Science,256,0.25,47.45,True,2,not admitted,"B3, B2, B2, C4, C6"
Physical Sciences,Mathematics,169,0.23,34.95,True,1,not admitted,"C6, C5, C5, B3, B2"
Life Sciences,Zoology,149,14.22,49.24,True,2,not admitted,"B2, B3, B2, C4, B3"
Education,Arts Education,189,25.8,63.02,True,2,admitted,"C5, C4, C4, C4, C4"
Management Sciences,Finance,201,28.36,68.69,True,1,admitted,"C4, A1, C5, C6, A1"
Clinical Sciences,Nursing Science,316,14.22,67.32,True,2,admitted,"C4, C5, B3, C5, C4"
Education,Health Promotion and Environmental Health Education,163,17.89,53.47,True,1,not admitted,"A1, C6, B2, C4, C4"
Physical Sciences,Statistics,164,2.84,38.14,True,1,not admitted,"C4, B2, A1, C6, C5"
Management Sciences,Finance,330,21.69,76.94,True,1,admitted,"C4, A1, C5, C4, C6"
