Faculty,Department,UTME_Score,Olevel_Grades,Post_UTME_Score,Aggregate,Cutoff,Admission_Status
Environmental Sciences,Estate Management,334,"A1, A1, B2, B2, C6",8,66.95,50.0,not admitted
Engineering,Chemical & Petroleum Engineering,229,"C5, A1, A1, B3, C4",21,66.03,50.0,admitted
Environmental Sciences,Estate Management,255,"A1, C6, C5, C4, C5",23,68.47,50.0,admitted
Education,Early Childhood Education,201,"A1, C6, C4, C5, C5",7,45.73,50.0,not admitted
Pharmacy,Pharmacy,256,"B2, A1, C5, B3, B3",16,64.4,76.125,considered
Management Sciences,Finance,271,"B3, C6, B2, B3, A1",13,62.88,68.9,considered
Basic Medical Sciences,Medical Laboratory Science,348,"B3, C6, B2, B3, C5",16,73.9,74.675,considered
Law,Law,211,"A1, B2, B3, C4, B2",11,54.58,68.65,not admitted
Environmental Sciences,Quantity Surveying,267,"C6, B2, C4, C6, A1",26,73.78,50.0,admitted
Law,Law,214,"C5, A1, C5, B3, B3",28,69.95,68.65,admitted
Clinical Sciences,Nursing,379,"C5, A1, B2, C4, A1",23,87.17,70.875,admitted
Social Sciences,Psychology,246,"A1, A1, C6, C4, B2",9,56.15,67.4,not admitted
Clinical Sciences,Nursing,361,"C4, B2, B3, C5, A1",22,83.12,70.875,admitted
Engineering,Civil & Environmental Engineering,364,"C4, A1, A1, C5, B2",14,76.3,50.0,admitted
Pharmacy,Pharmacy,250,"C6, C4, B2, C6, A1",15,60.65,76.125,considered
Arts,Creative Arts,272,"B3, C6, C5, C6, C4",22,68.4,67.05,admitted
Environmental Sciences,Building,351,"C5, C4, B3, B2, B2",5,64.47,50.0,not admitted
Arts,Philosophy,262,"C5, B2, C6, B2, C6",24,70.35,67.4,admitted
Clinical Sciences,Medicine and Surgery,328,"B3, C5, B2, C5, C5",24,79.0,80.8,considered
Engineering,Civil & Environmental Engineering,221,"C4, C4, C6, C5, C6",27,66.62,50.0,admitted
Dental Sciences,Dentistry,253,"B2, A1, C6, C5, C6",19,64.62,77.4,considered
Pharmacy,Pharmacy,282,"C6, B3, C6, B2, C5",21,69.45,76.125,considered
Arts,Russian,239,"C4, C6, C6, B3, A1",29,72.88,67.65,admitted
Pharmacy,Pharmacy,354,"B2, C4, C6, A1, C4",12,71.45,76.125,considered
Arts,English,297,"A1, C6, B2, C5, B2",3,55.73,68.175,not admitted
Engineering,Biomedical Engineering,387,"C4, C6, C6, B3, C6",10,70.38,50.0,not admitted
Dental Sciences,Dentistry,251,"B2, B2, C5, C6, C4",30,75.78,77.4,considered
Basic Medical Sciences,Medical Laboratory Science,266,"C4, A1, B3, C4, C5",28,76.45,74.675,admitted
Education,Education English,233,"C5, A1, C4, C5, B3",4,47.92,50.0,not admitted
Science,Computer Science,280,"A1, C4, A1, B2, B2",11,64.0,71.75,not admitted
Social Sciences,Political Science,358,"C5, B2, B3, C6, C5",11,69.35,68.6,not admitted
Environmental Sciences,Quantity Surveying,241,"B2, A1, B3, C5, B3",30,76.53,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,228,"C5, A1, C6, B3, C5",8,50.5,74.675,not admitted
Clinical Sciences,Physiotherapy,207,"C4, C6, A1, A1, C6",15,55.67,73.75,considered
Social Sciences,Geography,239,"C5, C4, C6, B3, B3",23,66.47,50.0,admitted
Engineering,Electrical & Electronics Engineering,364,"B2, C6, C4, C6, C6",24,81.9,50.0,admitted
Management Sciences,IRPM,210,"C4, A1, C5, C4, C4",13,54.05,50.0,admitted
Engineering,Chemical & Petroleum Engineering,393,"C5, C5, C4, C4, C4",8,70.33,50.0,not admitted
Environmental Sciences,Estate Management,208,"B3, A1, C4, B3, B2",19,61.8,50.0,admitted
Education,Education Mathematics,304,"C6, C6, B2, B2, C6",27,78.2,50.0,admitted
Clinical Sciences,Physiotherapy,226,"B3, C4, C6, C5, C6",29,69.65,73.75,considered
Basic Medical Sciences,Physiology,220,"B2, C6, C5, B2, B2",5,47.7,71.55,not admitted
Science,Microbiology,298,"C5, C5, B3, A1, B3",20,72.45,50.0,admitted
Dental Sciences,Dentistry,392,"A1, C6, B2, C6, A1",3,67.6,77.4,not admitted
Management Sciences,Finance,389,"B3, C4, A1, C4, B3",21,85.62,68.9,admitted
Science,Statistics,209,"B2, A1, C4, A1, C5",11,53.92,50.0,not admitted
Law,Law,377,"C5, C5, B2, B2, B2",20,82.72,68.65,admitted
Education,Education Biology,255,"C4, B2, B3, C4, A1",30,78.28,50.0,admitted
Arts,Chinese,264,"B3, B3, C6, C6, C6",2,47.4,66.7,not admitted
Engineering,Biomedical Engineering,269,"C4, A1, B2, B3, C4",20,70.03,50.0,admitted
Law,Law,399,"C4, C5, C6, C6, B2",22,84.67,68.65,admitted
Pharmacy,Pharmacy,374,"C4, B3, A1, C5, C6",22,83.15,76.125,admitted
Dental Sciences,Dentistry,382,"B3, C5, C6, C6, C6",25,84.35,77.4,admitted
Environmental Sciences,Estate Management,309,"B2, A1, C4, C5, C5",15,68.83,50.0,admitted
Arts,Russian,289,"B3, C4, B2, B2, C4",21,73.12,67.65,admitted
Arts,Christian Religious Studies,392,"B3, C4, C6, C5, C6",12,73.4,61.625,admitted
Pharmacy,Pharmacy,215,"B3, B2, A1, B3, B2",9,53.48,76.125,not admitted
Arts,Creative Arts,216,"B2, C6, B3, C4, C5",2,43.0,67.05,not admitted
Basic Medical Sciences,Medical Laboratory Science,331,"A1, B2, B2, C6, C4",4,61.38,74.675,not admitted
Pharmacy,Pharmacy,380,"B2, C5, B2, A1, B3",30,94.3,76.125,admitted
Law,Law,262,"C5, C6, B3, B2, B3",27,74.15,68.65,admitted
Engineering,Systems Engineering,305,"C5, B2, B3, B3, B2",10,64.12,50.0,not admitted
Arts,French,339,"A1, C4, C4, C6, C4",30,86.78,66.55,admitted
Social Sciences,Social Work,385,"C5, C4, C5, C6, C6",21,80.72,50.0,admitted
Management Sciences,Actuarial Science,226,"A1, C6, C6, B2, C5",6,48.25,61.875,not admitted
Law,Law,217,"C5, C6, B3, C5, B2",24,64.72,68.65,considered
Arts,Chinese,287,"A1, C4, C4, B2, B2",22,74.67,66.7,admitted
Pharmacy,Pharmacy,326,"A1, C4, C4, C4, C5",9,64.55,76.125,not admitted
Dental Sciences,Dentistry,259,"C5, C4, C5, C4, B3",24,69.97,77.4,considered
Clinical Sciences,Nursing,390,"A1, C4, B2, C4, A1",18,83.95,70.875,admitted
Social Sciences,Mass Communication,220,"A1, A1, B3, B3, C6",1,44.9,72.35,not admitted
Basic Medical Sciences,Physiology,396,"C5, C5, C5, B2, C5",0,62.7,71.55,not admitted
Social Sciences,Economics,287,"B3, B2, C5, C5, B3",30,80.67,69.95,admitted
Management Sciences,Insurance,250,"B3, C5, C4, B2, B2",10,56.85,67.125,not admitted
Engineering,Civil & Environmental Engineering,308,"C6, C4, C5, C5, B3",30,81.3,50.0,admitted
Science,Geology,229,"C5, B2, A1, C6, C4",2,45.42,50.0,not admitted
Education,Health Education,238,"C6, A1, B2, B2, B3",24,70.15,50.0,admitted
Engineering,Systems Engineering,225,"C4, B2, B3, C4, C4",11,54.33,50.0,not admitted
Engineering,Biomedical Engineering,386,"B2, C6, C5, C6, C5",1,61.65,50.0,not admitted
Social Sciences,Social Work,348,"C5, C6, C5, B2, A1",3,60.9,50.0,not admitted
Environmental Sciences,Quantity Surveying,334,"C6, C4, A1, A1, C5",9,65.95,50.0,not admitted
Arts,Russian,389,"A1, B3, B3, B2, C5",27,92.03,67.65,admitted
Social Sciences,Sociology,326,"B2, B2, C6, B3, B2",27,83.75,66.15,admitted
Education,Integrated Science Education,349,"B2, B3, C6, B2, B3",7,66.22,50.0,not admitted
Social Sciences,Economics,287,"A1, A1, C5, C4, C6",0,51.08,69.95,not admitted
Engineering,Surveying & Geoinformatics Engineering,311,"B3, C6, C5, A1, C5",26,78.88,50.0,admitted
Education,Education Biology,361,"B3, C4, B3, A1, B2",21,82.92,50.0,admitted
Clinical Sciences,Medicine and Surgery,225,"A1, C4, C6, A1, B3",9,53.12,80.8,not admitted
Law,Law,220,"B3, A1, B2, B3, B2",13,58.1,68.65,considered
Science,Industrial Mathematics,342,"B3, C6, B3, B2, C4",5,62.55,50.0,not admitted
Education,Health Education,313,"B2, A1, B3, B2, A1",25,82.53,50.0,admitted
Management Sciences,IRPM,299,"B3, C5, B3, C5, B2",5,57.17,50.0,not admitted
Education,Educational Foundations,238,"B2, A1, C4, B3, A1",6,53.35,50.0,not admitted
Science,Computer Science,350,"C6, C5, B3, B3, C6",4,60.55,71.75,not admitted
Management Sciences,IRPM,305,"C6, A1, B2, B2, B3",14,68.53,50.0,admitted
Pharmacy,Pharmacy,358,"C4, C6, C6, C4, C5",28,84.75,76.125,admitted
Basic Medical Sciences,Physiology,257,"C4, C5, C4, A1, A1",26,74.12,71.55,admitted
Science,Fisheries,239,"B2, B2, C6, C4, A1",28,73.88,50.0,admitted
Science,Physics,368,"C5, C5, C5, B3, B2",19,79.0,50.0,admitted
Arts,Christian Religious Studies,383,"B3, C5, C6, C6, C4",12,72.28,61.625,admitted
Environmental Sciences,Building,242,"C4, B3, C4, A1, C6",25,70.05,50.0,admitted
Science,Chemistry,226,"C6, C5, C4, A1, C5",7,48.85,50.0,not admitted
Dental Sciences,Dentistry,203,"C5, B2, C5, C5, C4",6,44.98,77.4,not admitted
Education,Education Islamic Religious Studies,386,"C5, A1, C5, A1, C5",5,68.45,50.0,not admitted
Dental Sciences,Dentistry,245,"C4, C4, C6, C4, C5",3,46.42,77.4,not admitted
Science,Geology,297,"B3, C4, A1, C4, C6",24,75.92,50.0,admitted
Clinical Sciences,Nursing,379,"B2, A1, B3, C4, A1",28,92.97,70.875,admitted
Management Sciences,Business Administration,257,"B2, C6, B2, A1, B2",8,56.92,68.65,not admitted
Dental Sciences,Dentistry,202,"A1, C5, B3, C4, B3",4,44.85,77.4,not admitted
Law,Law,342,"C6, B2, B3, C6, C6",19,74.55,68.65,admitted
Arts,Creative Arts,398,"B3, B3, C5, C5, C6",11,73.95,67.05,not admitted
Environmental Sciences,Architecture,366,"A1, A1, C5, C6, A1",25,87.15,50.0,admitted
Science,Mathematics,388,"C6, B3, B3, B3, C6",18,80.1,50.0,admitted
Engineering,Metallurgical & Material Engineering,358,"A1, B3, C5, A1, B2",12,73.95,50.0,admitted
Pharmacy,Pharmacy,334,"A1, A1, C5, C6, B3",5,62.35,76.125,not admitted
Science,Statistics,290,"C6, B2, A1, B3, B2",13,65.65,50.0,admitted
Social Sciences,Economics,312,"C5, A1, B2, A1, C6",26,81.0,69.95,admitted
Clinical Sciences,Physiotherapy,239,"C6, C5, B3, B3, A1",10,54.67,73.75,not admitted
Pharmacy,Pharmacy,377,"C5, C6, A1, C4, C5",25,85.72,76.125,admitted
Social Sciences,Mass Communication,306,"C4, C5, C6, C6, C4",9,59.25,72.35,not admitted
Clinical Sciences,Nursing,252,"B3, C6, A1, C5, B2",16,62.7,70.875,considered
Basic Medical Sciences,Physiology,393,"A1, B3, B2, B2, C6",19,84.53,71.55,admitted
Basic Medical Sciences,Medical Laboratory Science,250,"A1, A1, B2, A1, B2",1,51.45,74.675,not admitted
Engineering,Mechanical Engineering,279,"C6, A1, C6, C6, B2",16,64.47,50.0,admitted
Education,Human Kinetics Education,249,"C5, B2, C4, C4, C5",18,63.12,50.0,admitted
Science,Geophysics,212,"B3, C4, C5, A1, C5",24,65.3,50.0,admitted
Social Sciences,Political Science,267,"B3, C4, C4, C4, C6",23,69.97,68.6,admitted
Basic Medical Sciences,Medical Laboratory Science,322,"C6, A1, B2, B3, C6",20,75.05,74.675,admitted
Dental Sciences,Dentistry,287,"C6, C4, A1, C6, C5",15,64.08,77.4,considered
Dental Sciences,Dentistry,237,"C5, A1, B2, B3, B3",17,63.02,77.4,considered
Pharmacy,Pharmacy,393,"C5, C5, C5, C6, C5",1,61.73,76.125,not admitted
Environmental Sciences,Architecture,246,"B2, C6, C5, C6, B2",26,70.35,50.0,admitted
Environmental Sciences,Quantity Surveying,343,"C5, C6, B3, C4, A1",25,82.28,50.0,admitted
Clinical Sciences,Nursing,212,"A1, C6, C4, A1, A1",23,66.3,70.875,considered
Environmental Sciences,Urban & Regional Planning,381,"A1, B2, B3, A1, C5",16,80.83,50.0,admitted
Dental Sciences,Dentistry,310,"C4, C5, A1, C5, B2",14,67.95,77.4,considered
Education,Education Mathematics,200,"C4, C6, C4, C5, B3",4,42.2,50.0,not admitted
Arts,Philosophy,230,"C4, C4, C4, B3, C5",29,71.75,67.4,admitted
Law,Law,398,"B2, B3, B2, C5, C6",13,77.55,68.65,admitted
Basic Medical Sciences,Pharmacology,216,"B3, B2, C4, C4, B3",1,43.6,72.625,not admitted
Environmental Sciences,Urban & Regional Planning,225,"B3, A1, A1, C4, C6",0,44.12,50.0,not admitted
Environmental Sciences,Building,215,"B2, C5, C4, C6, C5",9,49.08,50.0,not admitted
Environmental Sciences,Quantity Surveying,212,"C6, C6, A1, C5, B2",8,48.5,50.0,not admitted
Education,Health Education,286,"C6, B3, C5, C4, A1",9,59.15,50.0,not admitted
Education,Educational Foundations,369,"C5, B2, B3, B3, A1",25,87.53,50.0,admitted
Dental Sciences,Dentistry,203,"C6, A1, C4, C6, C5",26,64.58,77.4,considered
Education,Education Igbo,254,"B3, C4, C6, A1, C5",18,64.15,50.0,admitted
Engineering,Computer Engineering,324,"B3, C5, C4, C4, C6",20,73.7,50.0,admitted
Clinical Sciences,Medicine and Surgery,258,"A1, C6, C6, B3, C5",17,62.85,80.8,considered
Pharmacy,Pharmacy,234,"B3, A1, C5, B2, B3",5,50.65,76.125,not admitted
Clinical Sciences,Nursing,317,"C5, C6, C4, C5, C6",14,65.22,70.875,considered
Science,Mathematics,307,"B2, C5, A1, C4, B2",3,57.77,50.0,not admitted
Clinical Sciences,Medicine and Surgery,282,"C4, C5, C5, C4, B2",24,73.25,80.8,considered
Law,Law,319,"B3, B2, C6, B2, C6",0,54.27,68.65,not admitted
Pharmacy,Pharmacy,364,"B2, B2, C4, B2, C5",19,80.5,76.125,admitted
Environmental Sciences,Building,340,"A1, C5, C4, A1, C5",2,60.1,50.0,not admitted
Arts,History & Strategic Studies,392,"C6, A1, A1, B3, C6",5,69.2,68.6,not admitted
Pharmacy,Pharmacy,293,"C6, C4, B2, A1, A1",2,55.02,76.125,not admitted
Education,Educational Foundations,271,"B3, B3, A1, C5, A1",14,64.67,50.0,admitted
Management Sciences,Accounting,384,"B3, B3, A1, A1, B3",29,94.6,74.1,admitted
Pharmacy,Pharmacy,344,"A1, C5, C4, C5, A1",16,74.6,76.125,considered
Environmental Sciences,Architecture,257,"C5, C6, C5, C6, A1",27,71.92,50.0,admitted
Management Sciences,Business Administration,375,"A1, B2, C5, C6, C6",1,61.88,68.65,not admitted
Dental Sciences,Dentistry,251,"B3, A1, B3, C6, C4",19,65.58,77.4,considered
Basic Medical Sciences,Medical Laboratory Science,379,"B2, C6, C5, B3, B2",10,72.17,74.675,not admitted
Social Sciences,Mass Communication,265,"C6, B3, B3, B3, B2",23,71.33,72.35,considered
Education,Early Childhood Education,211,"B2, A1, B2, C5, B2",20,63.58,50.0,admitted
Environmental Sciences,Quantity Surveying,229,"B3, C5, B2, C6, A1",16,59.83,50.0,admitted
Arts,Philosophy,223,"B2, C5, C4, B2, A1",24,68.28,67.4,admitted
Arts,Creative Arts,294,"C4, C4, B2, C4, B2",21,73.35,67.05,admitted
Clinical Sciences,Medicine and Surgery,328,"C4, C5, C6, B2, A1",11,66.8,80.8,not admitted
Pharmacy,Pharmacy,324,"C4, B3, C4, A1, C6",16,71.3,76.125,considered
Science,Microbiology,294,"C6, C6, A1, C4, B2",26,77.15,50.0,admitted
Pharmacy,Pharmacy,334,"B2, B2, A1, C4, C6",19,76.75,76.125,admitted
Social Sciences,Geography,225,"C6, A1, C5, C4, A1",16,59.33,50.0,admitted
Clinical Sciences,Physiotherapy,306,"C5, C5, C5, C5, C5",5,55.25,73.75,not admitted
Engineering,Metallurgical & Material Engineering,225,"C5, C4, A1, C4, B2",8,51.73,50.0,not admitted
Social Sciences,Psychology,238,"B3, B2, A1, A1, C6",5,51.55,67.4,not admitted
Engineering,Electrical & Electronics Engineering,346,"B2, C5, C6, B3, C6",26,82.45,50.0,admitted
Social Sciences,Political Science,349,"B2, A1, B3, A1, C5",26,86.83,68.6,admitted
Basic Medical Sciences,Pharmacology,371,"A1, C5, B2, B2, B3",8,71.17,72.625,not admitted
Arts,Philosophy,239,"A1, C4, C6, B3, C5",8,52.27,67.4,not admitted
Education,Education Physics,399,"A1, C6, C6, C5, B2",11,74.88,50.0,not admitted
Law,Law,338,"A1, C4, C5, A1, B2",6,65.05,68.65,not admitted
Environmental Sciences,Building,358,"C4, C6, A1, B3, C6",7,65.75,50.0,not admitted
Environmental Sciences,Architecture,291,"B2, B3, B2, C4, A1",5,58.58,50.0,not admitted
Education,Education Islamic Religious Studies,240,"B2, B3, B2, B2, A1",26,74.0,50.0,admitted
Management Sciences,Actuarial Science,398,"C6, C5, C6, C4, A1",11,73.95,61.875,not admitted
Basic Medical Sciences,Pharmacology,215,"A1, B3, C6, C4, C5",21,62.27,72.625,considered
Management Sciences,Insurance,378,"B2, B3, B3, C4, C6",10,72.05,67.125,not admitted
Clinical Sciences,Nursing,264,"C4, A1, C5, C5, C6",15,61.6,70.875,considered
Science,Botany,334,"C4, B2, A1, B2, A1",12,71.75,50.0,admitted
Clinical Sciences,Physiotherapy,231,"C4, C5, B2, C6, C4",13,55.48,73.75,considered
Dental Sciences,Dentistry,280,"B2, B2, C4, B3, C4",24,75.0,77.4,considered
Management Sciences,Actuarial Science,239,"A1, B2, C4, B3, C4",15,61.27,61.875,considered
Basic Medical Sciences,Physiology,349,"C6, C6, A1, C6, C4",21,77.42,71.55,admitted
Management Sciences,Insurance,327,"C6, C6, C5, C6, A1",13,66.28,67.125,considered
Law,Law,280,"C4, C4, C5, C4, C4",21,69.6,68.65,admitted
Education,Early Childhood Education,300,"B3, B3, C6, B3, C5",19,70.5,50.0,admitted
Clinical Sciences,Medicine and Surgery,230,"C6, A1, B2, B2, C5",5,49.35,80.8,not admitted
Arts,Philosophy,324,"A1, B2, C4, C5, C6",20,75.3,67.4,admitted
Engineering,Electrical & Electronics Engineering,280,"C4, C5, B2, C4, A1",12,62.6,50.0,admitted
Social Sciences,Political Science,318,"C4, B3, A1, C4, C5",28,82.95,68.6,admitted
Engineering,Civil & Environmental Engineering,245,"B2, C6, B3, B2, C6",16,61.02,50.0,admitted
Pharmacy,Pharmacy,320,"C6, A1, C6, B3, C5",16,69.6,76.125,considered
Social Sciences,Sociology,337,"B2, C6, B2, C5, C4",15,71.53,66.15,admitted
Engineering,Metallurgical & Material Engineering,261,"C4, C6, C4, B2, A1",28,75.83,50.0,admitted
Law,Law,306,"C5, C4, C6, C6, C4",18,68.25,68.65,considered
Arts,French,256,"A1, C4, A1, A1, A1",23,73.8,66.55,admitted
Arts,Linguistic Igbo/Yoruba,358,"B3, B2, B3, B2, A1",6,68.35,61.175,not admitted
Social Sciences,Geography,372,"C6, A1, C4, C5, A1",4,65.7,50.0,not admitted
Clinical Sciences,Radiography,209,"B3, A1, C6, C5, B2",8,49.33,72.525,not admitted
Social Sciences,Psychology,344,"A1, B2, B2, B2, C6",0,59.8,67.4,not admitted
Environmental Sciences,Urban & Regional Planning,344,"C6, B2, A1, C6, C6",5,61.6,50.0,not admitted
Environmental Sciences,Estate Management,308,"B3, C5, C4, B2, C6",6,58.5,50.0,not admitted
Dental Sciences,Dentistry,279,"B2, C4, B3, A1, A1",16,68.47,77.4,considered
Management Sciences,IRPM,333,"C4, C5, A1, B3, C5",27,83.42,50.0,admitted
Arts,Islamic Religious Studies,386,"B3, A1, B2, B3, C5",10,74.65,60.225,not admitted
Environmental Sciences,Urban & Regional Planning,241,"A1, C4, A1, B2, C6",4,50.52,50.0,not admitted
Dental Sciences,Dentistry,253,"B3, B2, B3, B3, B3",4,52.03,77.4,not admitted
Law,Law,331,"B3, C6, C4, A1, C5",23,78.78,68.65,admitted
Management Sciences,Business Administration,288,"C5, C5, C6, A1, C5",11,60.2,68.65,not admitted
Dental Sciences,Dentistry,316,"C4, B3, A1, A1, B2",5,62.1,77.4,not admitted
Basic Medical Sciences,Medical Laboratory Science,382,"C6, B3, C6, C5, A1",19,80.35,74.675,admitted
Management Sciences,Actuarial Science,371,"B2, C4, B2, C5, C4",28,89.58,61.875,admitted
Management Sciences,IRPM,378,"A1, C5, C6, B3, B3",14,76.05,50.0,admitted
Education,Education French,282,"B3, B3, B2, B3, C5",25,75.85,50.0,admitted
Arts,Creative Arts,349,"B3, C6, B2, B3, C5",12,70.03,67.05,admitted
Arts,French,351,"C4, C5, B2, C6, B3",9,66.88,66.55,not admitted
Arts,French,314,"B3, C4, B2, C4, B2",24,79.25,66.55,admitted
Education,Education Physics,206,"C5, C5, C6, C4, A1",2,41.35,50.0,not admitted
Engineering,Systems Engineering,289,"C4, B3, A1, C4, A1",25,77.92,50.0,admitted
Pharmacy,Pharmacy,229,"C5, C4, C6, C5, A1",22,64.22,76.125,considered
Social Sciences,Psychology,301,"B2, C5, C5, B3, C5",23,74.62,67.4,admitted
Engineering,Surveying & Geoinformatics Engineering,201,"C5, A1, C6, B2, B3",7,47.33,50.0,not admitted
Pharmacy,Pharmacy,250,"C5, C6, C6, A1, B3",29,73.85,76.125,considered
Environmental Sciences,Quantity Surveying,352,"B2, C6, C5, C6, B3",0,57.2,50.0,not admitted
Management Sciences,Actuarial Science,287,"B2, B2, C4, A1, C4",27,79.67,61.875,admitted
Basic Medical Sciences,Pharmacology,207,"C6, C6, B2, C5, A1",3,42.88,72.625,not admitted
Arts,History & Strategic Studies,260,"A1, C5, C4, C6, C6",22,67.7,68.6,considered
Clinical Sciences,Physiotherapy,328,"A1, C4, C4, C5, C6",18,73.0,73.75,considered
Social Sciences,Psychology,217,"B3, C5, C5, B3, A1",17,59.33,67.4,considered
Science,Cell Biology & Genetics,296,"B3, C6, C4, B3, A1",2,54.2,50.0,not admitted
Arts,Russian,208,"C5, C5, B2, C6, A1",17,57.4,67.65,considered
Dental Sciences,Dentistry,281,"B3, A1, B2, B3, B3",2,54.33,77.4,not admitted
Clinical Sciences,Radiography,267,"C4, C4, A1, C4, A1",25,74.78,72.525,admitted
Management Sciences,Finance,308,"B2, C6, A1, C5, C6",4,56.5,68.9,not admitted
Basic Medical Sciences,Physiology,388,"C6, B2, A1, C6, C4",1,63.9,71.55,not admitted
Science,Geophysics,353,"B2, C6, A1, B3, C5",15,74.33,50.0,admitted
Social Sciences,Geography,269,"C4, C6, C5, C6, C4",14,59.62,50.0,admitted
Science,Computer Science,335,"A1, B3, C5, A1, C6",10,67.47,71.75,not admitted
Education,Education Christian Religious Studies,381,"B2, C5, A1, C5, B2",27,90.62,50.0,admitted
Dental Sciences,Dentistry,297,"A1, B3, A1, C5, B2",9,63.33,77.4,not admitted
Education,Educational Administration,301,"C6, C6, B2, C4, A1",17,69.03,50.0,admitted
Pharmacy,Pharmacy,247,"A1, B3, B3, A1, B2",3,51.88,76.125,not admitted
Engineering,Civil & Environmental Engineering,294,"C4, C4, B2, B3, C6",7,58.15,50.0,not admitted
Clinical Sciences,Physiotherapy,290,"B3, B2, B2, A1, B2",12,66.25,73.75,considered
Engineering,Chemical & Petroleum Engineering,323,"A1, B2, B3, C5, C5",13,68.97,50.0,admitted
Environmental Sciences,Urban & Regional Planning,222,"A1, B2, C4, C4, C5",28,71.35,50.0,admitted
Education,Education French,298,"C4, C6, B2, C5, C6",15,65.05,50.0,admitted
Science,Geophysics,354,"B2, C5, B2, C6, B2",17,76.45,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,286,"C4, C4, A1, C4, A1",4,56.15,74.675,not admitted
Law,Law,345,"B2, C4, A1, C5, C4",0,58.73,68.65,not admitted
Law,Law,311,"B2, B3, C4, C4, B3",30,84.47,68.65,admitted
Environmental Sciences,Urban & Regional Planning,297,"C6, C6, B3, C6, B3",23,72.53,50.0,admitted
Basic Medical Sciences,Physiology,292,"C6, C4, B3, B3, B3",12,62.9,71.55,considered
Basic Medical Sciences,Physiology,220,"B2, A1, A1, C5, B2",10,55.1,71.55,not admitted
Management Sciences,Accounting,355,"C4, C5, B2, B3, C4",23,82.17,74.1,admitted
Clinical Sciences,Physiotherapy,298,"C6, B3, C6, A1, C4",14,65.25,73.75,considered
Arts,Islamic Religious Studies,260,"C5, C4, B3, C4, B2",1,48.3,60.225,not admitted
Clinical Sciences,Radiography,263,"C4, A1, C4, B3, C4",22,70.47,72.525,considered
Arts,English,386,"C6, B2, A1, A1, C6",25,88.85,68.175,admitted
Science,Botany,310,"C4, C4, B2, B3, B2",21,75.75,50.0,admitted
Basic Medical Sciences,Medical Laboratory Science,297,"A1, B3, B3, B3, C6",6,58.73,74.675,not admitted
Law,Law,346,"A1, C5, B2, B3, A1",21,81.45,68.65,admitted
Arts,English,254,"C4, B3, C5, C4, C5",6,51.35,68.175,not admitted
Dental Sciences,Dentistry,230,"C6, C6, C4, A1, B3",16,58.75,77.4,considered
Pharmacy,Pharmacy,391,"C4, A1, C6, C6, C6",15,76.67,76.125,admitted
Environmental Sciences,Building,345,"B2, C4, C5, C5, C4",23,80.12,50.0,admitted
Education,Technology Education,386,"C5, C5, C6, B2, A1",1,63.65,50.0,not admitted
Engineering,Civil & Environmental Engineering,394,"C4, C4, A1, C5, C4",22,86.05,50.0,admitted
Engineering,Computer Engineering,381,"B2, A1, C4, A1, C5",4,68.42,50.0,not admitted
Dental Sciences,Dentistry,377,"C4, A1, B3, C6, B3",0,62.33,77.4,not admitted
Science,Zoology,295,"C5, C5, B2, A1, C6",15,66.28,50.0,admitted
Social Sciences,Psychology,399,"B2, C5, B3, C6, B3",23,87.28,67.4,admitted
Basic Medical Sciences,Pharmacology,356,"C5, C4, C6, B3, C5",4,61.3,72.625,not admitted
Science,Chemistry,222,"C5, A1, C4, C5, B2",3,45.95,50.0,not admitted
Education,Early Childhood Education,348,"C6, C5, B2, C5, C5",22,78.3,50.0,admitted
Clinical Sciences,Physiotherapy,206,"B2, C6, A1, B3, B2",22,64.15,73.75,considered
Social Sciences,Geography,320,"B2, C4, C4, C5, B2",19,74.2,50.0,admitted
Management Sciences,Actuarial Science,333,"C5, B3, C6, C5, B2",9,64.22,61.875,not admitted
Pharmacy,Pharmacy,398,"B3, A1, A1, C6, A1",12,78.95,76.125,admitted
Clinical Sciences,Physiotherapy,340,"A1, C5, B3, C5, B2",3,61.1,73.75,not admitted
Dental Sciences,Dentistry,314,"C5, C4, C4, B3, B3",29,82.65,77.4,admitted
Basic Medical Sciences,Pharmacology,391,"B2, C5, B3, B3, C4",12,76.08,72.625,admitted
Pharmacy,Pharmacy,231,"C4, B3, A1, B3, C4",27,71.88,76.125,considered
Basic Medical Sciences,Medical Laboratory Science,398,"B3, C4, C5, B2, C5",23,87.15,74.675,admitted
Dental Sciences,Dentistry,369,"B3, C4, B2, C4, C4",22,83.33,77.4,admitted
Basic Medical Sciences,Pharmacology,266,"B3, C5, B3, A1, B3",16,65.25,72.625,considered
Arts,Philosophy,227,"C5, A1, C5, C6, C5",7,48.58,67.4,not admitted
Environmental Sciences,Estate Management,322,"B2, C4, C5, C4, B3",25,80.05,50.0,admitted
Dental Sciences,Dentistry,274,"C5, C4, C6, C6, B2",14,61.05,77.4,considered
Law,Law,372,"B3, C6, B3, C6, C4",8,67.7,68.65,not admitted
Law,Law,212,"C6, C6, A1, C6, B3",1,40.7,68.65,not admitted
Social Sciences,Political Science,384,"C6, B2, A1, A1, C4",2,66.4,68.6,not admitted
Management Sciences,IRPM,208,"A1, A1, C6, C6, C4",8,48.8,50.0,not admitted
