Faculty,Department,UTME_Score,UTME_Cutoff,Aggregate_Score,Aggregate_Cutoff,utme_gap,aggregate_gap,Olevel_Valid,olevel_avg_points,admitted_numeric
Pharmacy,Doctor of Pharmacy,254,240,51.1,55.0,14,-3.9,1,2.6,0
Pharmacy,Doctor of Pharmacy,229,240,55.35,55.0,-11,0.35,1,4.2,0
Social Sciences,Political Science,151,180,40.65,62.5,-29,-21.85,1,3.6,0
Pharmacy,Doctor of Pharmacy,337,240,75.55,55.0,97,20.55,1,5.0,1
Social Sciences,Psychology,336,150,61.4,64.5,186,-3.1,1,2.2,0
College of Medicine,Medicine and Surgery,336,260,77.4,55.0,76,22.4,1,3.4,1
Social Sciences,Psychology,158,150,54.7,64.5,8,-9.8,1,4.2,0
Arts,History and International Studies,324,180,66.6,67.8,144,-1.2,1,3.6,0
Engineering,Computer Engineering,281,200,62.15,64.3,81,-2.15,1,4.0,0
Agriculture,Food Science and Technology,260,150,63.0,58.0,110,5.0,1,2.8,1
Basic Medical Science,Nursing Science,227,150,59.05,55.0,77,4.05,1,3.0,1
Basic Medical Science,Anatomy,327,180,66.05,63.3,147,2.75,1,3.4,1
Communications and Media Studies,Mass Communication,222,220,56.3,66.3,2,-10.0,1,4.6,0
Communications and Media Studies,Journalism,196,150,47.4,64.0,46,-16.6,1,3.6,0
Basic Medical Science,Anatomy,194,180,65.1,63.3,14,1.8,1,5.2,1
Law,Law,339,240,61.85,55.0,99,6.85,1,2.2,1
Education,Guidance and Counselling,300,150,58.0,59.05,150,-1.05,1,2.6,0
Basic Medical Science,Radiology and Radiography,201,200,46.15,71.3,1,-25.15,1,3.2,0
Basic Medical Science,Physiology,266,180,67.9,61.5,86,6.4,1,3.6,1
Management Sciences,Accounting,238,200,64.7,55.0,38,9.7,1,3.8,1
Education,Biology Education,245,150,71.75,55.0,95,16.75,1,5.0,1
Arts,Linguistics and Language,268,150,65.2,55.0,118,10.2,1,5.0,1
Pharmacy,Doctor of Pharmacy,314,240,71.1,55.0,74,16.1,1,2.8,1
Science,Mathematics,337,150,83.55,55.5,187,28.05,1,4.6,1
Arts,History and International Studies,240,180,60.0,67.8,60,-7.8,1,2.8,0
Engineering,Agricultural and Bio-Resources Engineering,324,160,72.6,55.0,164,17.6,1,2.8,1
Basic Medical Science,Medical Laboratory Science,186,200,47.9,72.3,-14,-24.4,1,4.0,0
Pharmacy,Doctor of Pharmacy,324,240,70.6,55.0,84,15.6,1,2.4,1
Science,Physics,255,150,60.25,56.5,105,3.75,1,4.4,1
Basic Medical Science,Physiology,327,180,87.05,61.5,147,25.55,1,5.6,1
Communications and Media Studies,Pulic Relations,157,150,46.55,55.0,7,-8.45,1,4.6,0
Management Sciences,Public Administration,165,160,37.75,55.0,5,-17.25,1,2.6,0
Pharmacy,Doctor of Pharmacy,181,240,58.15,55.0,-59,3.15,1,4.2,0
Law,Law,140,240,39.0,55.0,-100,-16.0,1,3.6,0
Environmental Design and Management,Estate Management,229,160,47.35,57.5,69,-10.15,1,2.6,0
Management Sciences,Business Administration,152,200,46.8,55.0,-48,-8.2,1,2.8,0
Communications and Media Studies,Pulic Relations,227,150,58.05,55.0,77,3.05,1,4.8,1
Agriculture,Crop Science and Horticulture,211,150,64.65,57.3,61,7.35,1,4.6,1
Arts, English and Literary Studies,349,150,80.35,55.0,199,25.35,1,3.6,1
Arts,Linguistics and Language,303,150,70.45,55.0,153,15.45,1,5.0,1
Engineering,Mechatronics Engineering,183,220,52.45,65.0,-37,-12.55,1,3.0,0
College of Medicine,Medicine and Surgery,142,260,46.3,55.0,-118,-8.7,1,3.0,0
Basic Medical Science,Radiology and Radiography,348,200,75.2,71.3,148,3.9,1,2.6,1
Social Sciences,Criminology and Security Studies,230,200,63.5,55.0,30,8.5,1,3.8,1
Law,Law,347,240,77.05,55.0,107,22.05,1,3.0,1
Science,Mathematics,240,150,60.0,55.5,90,4.5,1,2.8,1
Arts, English and Literary Studies,154,150,33.1,55.0,4,-21.9,1,2.0,0
Social Sciences,Economics,193,180,47.95,63.75,13,-15.8,1,3.8,0
Social Sciences,Economics,180,180,41.0,63.75,0,-22.75,1,2.8,0
Basic Medical Science,Anatomy,320,180,64.0,63.3,140,0.7,1,3.2,1
Law,Law,266,240,51.9,55.0,26,-3.1,1,2.4,0
Management Sciences,Public Administration,314,160,77.1,55.0,154,22.1,1,4.0,1
Pharmacy,Doctor of Pharmacy,191,240,53.65,55.0,-49,-1.35,1,3.0,0
Management Sciences,Accounting,315,200,65.25,55.0,115,10.25,1,3.6,1
Law,Law,181,240,52.15,55.0,-59,-2.85,1,3.0,0
Environmental Design and Management,Estate Management,257,160,53.55,57.5,97,-3.95,1,3.0,0
Management Sciences,Business Administration,194,200,55.1,55.0,-6,0.1,1,3.2,0
Communications and Media Studies,Broadcasting,147,150,50.05,64.0,-3,-13.95,1,5.6,0
College of Medicine,Medicine and Surgery,184,260,44.6,55.0,-76,-10.4,1,3.4,0
Law,Law,200,240,44.0,55.0,-40,-11.0,1,2.8,0
Social Sciences,Demography and Social Statistics,161,150,39.15,60.5,11,-21.35,1,3.0,0
Science,Industrial Chemistry,294,150,70.1,60.5,144,9.6,1,3.2,1
Agriculture,Food Science and Technology,254,150,56.1,58.0,104,-1.9,1,3.6,0
Communications and Media Studies,Mass Communication,297,220,68.55,66.3,77,2.25,1,2.8,1
Education,Mathematics Education,293,150,51.95,55.5,143,-3.55,1,1.6,0
Arts, English and Literary Studies,184,150,47.6,55.0,34,-7.4,1,4.0,0
Agriculture,Animal Production and Health,163,150,46.45,61.3,13,-14.85,1,4.4,0
Science,Physics,239,150,65.85,56.5,89,9.35,1,4.0,1
Pharmacy,Doctor of Pharmacy,171,240,48.65,55.0,-69,-6.35,1,2.6,0
Science,Microbiology,185,180,56.75,65.75,5,-9.0,1,3.8,0
Agriculture,Water Resources Management and Agrometeorology,325,150,75.75,55.0,175,20.75,1,3.4,1
Social Sciences,Psychology,333,150,71.95,64.5,183,7.45,1,4.4,1
Engineering,Computer Engineering,161,200,55.15,64.3,-39,-9.15,1,4.2,0
Communications and Media Studies,Pulic Relations,259,150,65.85,55.0,109,10.85,1,3.4,1
Arts,Theatre and Media Arts,340,200,68.0,65.8,140,2.2,1,3.4,1
Environmental Design and Management,Estate Management,141,160,36.15,57.5,-19,-21.35,1,3.0,0
Education,Physics Education,238,150,59.7,53.6,88,6.1,1,4.8,1
College of Medicine,Medicine and Surgery,245,260,60.75,55.0,-15,5.75,1,2.8,0
Management Sciences,Public Administration,210,160,47.5,55.0,50,-7.5,1,3.2,0
College of Medicine,Medicine and Surgery,282,260,56.3,55.0,22,1.3,1,2.8,1
Management Sciences,Public Administration,330,160,79.5,55.0,170,24.5,1,4.0,1
Science,Computer Science,256,200,55.4,65.3,56,-9.9,1,3.4,0
Basic Medical Science,Physiology,140,180,39.0,61.5,-40,-22.5,1,3.6,0
Engineering,Civil Engineering,142,200,35.3,65.0,-58,-29.7,1,2.8,0
Social Sciences,Criminology and Security Studies,267,200,69.05,55.0,67,14.05,1,3.8,1
Science,Statistics,331,150,82.65,54.5,181,28.15,1,4.6,1
Law,Law,168,240,41.2,55.0,-72,-13.8,1,3.2,0
Environmental Design and Management,Building,211,170,46.65,57.5,41,-10.85,1,3.0,0
Environmental Design and Management,Survey and Geo-informatics,261,150,63.15,55.0,111,8.15,1,2.8,1
Social Sciences,Sociology,316,160,64.4,63.95,156,0.45,1,3.4,1
College of Medicine,Medicine and Surgery,305,260,76.75,55.0,45,21.75,1,4.2,1
Social Sciences,Psychology,212,150,65.8,64.5,62,1.3,1,4.8,1
Social Sciences,Demography and Social Statistics,340,150,74.0,60.5,190,13.5,1,2.6,1
Pharmacy,Doctor of Pharmacy,147,240,47.05,55.0,-93,-7.95,1,5.0,0
Environmental Design and Management,Survey and Geo-informatics,182,150,56.3,55.0,32,1.3,1,3.8,1
Education,Physics Education,308,150,68.2,53.6,158,14.6,1,2.4,1
Environmental Design and Management,Survey and Geo-informatics,198,150,60.7,55.0,48,5.7,1,4.2,1
Agriculture,Fisheries and Aquaculture,281,150,61.15,50.3,131,10.85,1,3.8,1
Pharmacy,Doctor of Pharmacy,147,240,39.05,55.0,-93,-15.95,1,3.4,0
Communications and Media Studies,Journalism,324,150,74.6,64.0,174,10.6,1,5.2,1
College of Medicine,Medicine and Surgery,311,260,62.65,55.0,51,7.65,1,3.2,1
Engineering,Electrical and Electronics Engineering,162,200,40.3,63.3,-38,-23.0,1,3.2,0
Arts,History and International Studies,246,180,56.9,67.8,66,-10.9,1,4.0,0
Environmental Design and Management,Architecture,318,210,74.7,66.25,108,8.45,1,3.4,1
Communications and Media Studies,Broadcasting,338,150,75.7,64.0,188,11.7,1,3.0,1
Science,Physics,224,150,61.6,56.5,74,5.1,1,3.6,1
Arts, English and Literary Studies,297,150,68.55,55.0,147,13.55,1,2.8,1
Pharmacy,Doctor of Pharmacy,271,240,66.65,55.0,31,11.65,1,3.2,1
Education,Human Kinetics,245,150,60.75,54.9,95,5.85,1,2.8,1
Law,Law,202,240,57.3,55.0,-38,2.3,1,3.4,0
College of Medicine,Medicine and Surgery,167,260,37.05,55.0,-93,-17.95,1,2.4,0
Law,Law,247,240,55.05,55.0,7,0.05,1,3.6,1
Basic Medical Science,Nursing Science,207,150,60.05,55.0,57,5.05,1,3.8,1
Communications and Media Studies,Broadcasting,243,150,65.45,64.0,93,1.45,1,3.8,1
Education,Guidance and Counselling,173,150,53.95,59.05,23,-5.1,1,3.6,0
Engineering,Mechanical Engineering,181,200,64.15,65.0,-19,-0.85,1,5.4,0
Environmental Design and Management,Estate Management,321,160,71.15,57.5,161,13.65,1,4.6,1
Education,Library and Information Science,209,150,40.35,64.5,59,-24.15,1,1.8,0
Education,Library and Information Science,335,150,72.25,64.5,185,7.75,1,2.4,1
Environmental Design and Management,Urban and Regional Planning,210,150,52.5,56.0,60,-3.5,1,4.2,0
Science,Chemistry,316,150,72.4,62.5,166,9.9,1,3.0,1
Agriculture,Hospitality and Tourism Management,195,150,41.25,58.45,45,-17.2,1,2.4,0
Social Sciences,Demography and Social Statistics,230,150,60.5,60.5,80,0.0,1,3.2,1
Management Sciences,Accounting,280,200,68.0,55.0,80,13.0,1,5.2,1
Social Sciences,Political Science,159,180,50.85,62.5,-21,-11.65,1,3.4,0
Environmental Design and Management,Quantity Surveying,316,170,74.4,60.5,146,13.9,1,3.4,1
Management Sciences,Public Administration,239,160,51.85,55.0,79,-3.15,1,3.2,0
Engineering,Meterials and Metallurgical Engineering,324,150,69.6,55.0,174,14.6,1,4.2,1
Education,Mathematics Education,272,150,50.8,55.5,122,-4.7,1,2.0,0
Basic Medical Science,Medical Laboratory Science,297,200,72.55,72.3,97,0.25,1,3.6,1
Basic Medical Science,Nursing Science,144,150,36.6,55.0,-6,-18.4,1,3.0,0
Basic Medical Science,Physiology,148,180,49.2,61.5,-32,-12.3,1,3.4,0
Social Sciences,Political Science,271,180,56.65,62.5,91,-5.85,1,3.2,0
Management Sciences,Public Administration,255,160,59.25,55.0,95,4.25,1,4.2,1
Law,Law,161,240,48.15,55.0,-79,-6.85,1,2.8,0
Law,Law,287,240,64.05,55.0,47,9.05,1,4.2,1
Arts,Linguistics and Language,204,150,44.6,55.0,54,-10.4,1,2.8,0
Arts,Theatre and Media Arts,281,200,74.15,65.8,81,8.35,1,4.4,1
Pharmacy,Doctor of Pharmacy,262,240,62.3,55.0,22,7.3,1,2.6,1
Basic Medical Science,Anatomy,202,180,44.3,63.3,22,-19.0,1,2.8,0
Science,Industrial Chemistry,279,150,64.85,60.5,129,4.35,1,4.6,1
College of Medicine,Medicine and Surgery,276,260,57.4,55.0,16,2.4,1,3.2,1
Basic Medical Science,Anatomy,206,180,57.9,63.3,26,-5.4,1,3.4,0
Education,Library and Information Science,320,150,70.0,64.5,170,5.5,1,4.4,1
Environmental Design and Management,Quantity Surveying,295,170,78.25,60.5,125,17.75,1,4.8,1
Basic Medical Science,Radiology and Radiography,293,200,69.95,71.3,93,-1.35,1,5.2,0
Pharmacy,Doctor of Pharmacy,294,240,73.1,55.0,54,18.1,1,3.8,1
Communications and Media Studies,Pulic Relations,247,150,63.05,55.0,97,8.05,1,3.2,1
Management Sciences,Finance,187,160,40.05,55.0,27,-14.95,1,2.4,0
Basic Medical Science,Physiology,344,180,80.6,61.5,164,19.1,1,3.8,1
Environmental Design and Management,Survey and Geo-informatics,306,150,58.9,55.0,156,3.9,1,2.6,1
Basic Medical Science,Physiology,225,180,52.75,61.5,45,-8.75,1,3.8,0
Agriculture,Animal Production and Health,211,150,59.65,61.3,61,-1.65,1,3.6,0
Education,Health Education,176,150,40.4,57.95,26,-17.55,1,2.8,0
Communications and Media Studies,Broadcasting,176,150,45.4,64.0,26,-18.6,1,1.8,0
Engineering,Electrical and Electronics Engineering,349,200,77.35,63.3,149,14.05,1,3.0,1
Engineering,Mechanical Engineering,197,200,60.55,65.0,-3,-4.45,1,4.2,0
Law,Law,280,240,62.0,55.0,40,7.0,1,4.0,1
Engineering,Agricultural and Bio-Resources Engineering,296,160,60.4,55.0,136,5.4,1,3.2,1
Basic Medical Science,Radiology and Radiography,317,200,76.55,71.3,117,5.25,1,3.8,1
Communications and Media Studies,Pulic Relations,198,150,49.7,55.0,48,-5.3,1,2.0,0
Social Sciences,Psychology,208,150,62.2,64.5,58,-2.3,1,4.2,0
Environmental Design and Management,Urban and Regional Planning,203,150,60.45,56.0,53,4.45,1,4.0,1
Social Sciences,Psychology,321,150,74.15,64.5,171,9.65,1,3.2,1
Management Sciences,Finance,338,160,83.7,55.0,178,28.7,1,4.6,1
Social Sciences,Demography and Social Statistics,218,150,66.7,60.5,68,6.2,1,4.8,1
Social Sciences,Criminology and Security Studies,153,200,41.95,55.0,-47,-13.05,1,3.8,0
Law,Law,295,240,55.25,55.0,55,0.25,1,2.2,1
Communications and Media Studies,Broadcasting,162,150,53.3,64.0,12,-10.7,1,3.8,0
Social Sciences,Economics,332,180,66.8,63.75,152,3.05,1,3.4,1
Agriculture,Hospitality and Tourism Management,205,150,51.75,58.45,55,-6.7,1,4.2,0
Social Sciences,Sociology,193,160,53.95,63.95,33,-10.0,1,5.0,0
Education,Library and Information Science,198,150,56.7,64.5,48,-7.8,1,3.4,0
Arts,History and International Studies,309,180,80.35,67.8,129,12.55,1,4.8,1
Communications and Media Studies,Journalism,342,150,66.3,64.0,192,2.3,1,3.0,1
Education,Guidance and Counselling,346,150,75.9,59.05,196,16.85,1,2.8,1
Social Sciences,Geography,252,150,53.8,55.0,102,-1.2,1,3.2,0
Management Sciences,Public Administration,256,160,63.4,55.0,96,8.4,1,3.0,1
Agriculture,Water Resources Management and Agrometeorology,162,150,44.3,55.0,12,-10.7,1,2.0,0
College of Medicine,Medicine and Surgery,174,260,36.1,55.0,-86,-18.9,1,2.0,0
Communications and Media Studies,Pulic Relations,220,150,50.0,55.0,70,-5.0,1,3.4,0
Arts,Linguistics and Language,193,150,42.95,55.0,43,-12.05,1,2.8,0
Pharmacy,Doctor of Pharmacy,330,240,66.5,55.0,90,11.5,1,3.4,1
Agriculture,Food Science and Technology,296,150,74.4,58.0,146,16.4,1,4.0,1
Agriculture,Crop Science and Horticulture,182,150,43.3,57.3,32,-14.0,1,3.2,0
Agriculture,Crop Science and Horticulture,325,150,62.75,57.3,175,5.45,1,2.8,1
Social Sciences,Demography and Social Statistics,345,150,81.75,60.5,195,21.25,1,4.0,1
Law,Law,270,240,61.5,55.0,30,6.5,1,4.2,1
Communications and Media Studies,Mass Communication,155,220,44.25,66.3,-65,-22.05,1,4.2,0
Engineering,Agricultural and Bio-Resources Engineering,242,160,62.3,55.0,82,7.3,1,3.2,1
Communications and Media Studies,Journalism,286,150,60.9,64.0,136,-3.1,1,3.6,0
Social Sciences,Political Science,254,180,66.1,62.5,74,3.6,1,3.6,1
Basic Medical Science,Radiology and Radiography,261,200,68.15,71.3,61,-3.15,1,3.8,0
Law,Law,312,240,64.8,55.0,72,9.8,1,3.6,1
Law,Law,253,240,61.95,55.0,13,6.95,1,2.8,1
Management Sciences,Accounting,144,200,41.6,55.0,-56,-13.4,1,2.0,0
Pharmacy,Doctor of Pharmacy,282,240,78.3,55.0,42,23.3,1,5.2,1
Pharmacy,Doctor of Pharmacy,290,240,65.5,55.0,50,10.5,1,4.4,1
Social Sciences,Criminology and Security Studies,191,200,56.65,55.0,-9,1.65,1,3.6,0
Arts,Linguistics and Language,343,150,78.45,55.0,193,23.45,1,3.4,1
Agriculture,Food Science and Technology,262,150,58.3,58.0,112,0.3,1,3.8,1
College of Medicine,Medicine and Surgery,155,260,38.25,55.0,-105,-16.75,1,3.0,0
College of Medicine,Medicine and Surgery,176,260,48.4,55.0,-84,-6.6,1,4.4,0
Social Sciences,Political Science,207,180,53.05,62.5,27,-9.45,1,2.4,0
Environmental Design and Management,Estate Management,318,160,77.7,57.5,158,20.2,1,4.0,1
Social Sciences,Demography and Social Statistics,266,150,63.9,60.5,116,3.4,1,2.8,1
Law,Law,150,240,58.5,55.0,-90,3.5,1,5.2,0
Management Sciences,Finance,249,160,74.35,55.0,89,19.35,1,5.4,1
Communications and Media Studies,Pulic Relations,247,150,52.05,55.0,97,-2.95,1,3.0,0
Management Sciences,Public Administration,339,160,75.85,55.0,179,20.85,1,3.0,1
Environmental Design and Management,Estate Management,301,160,70.15,57.5,141,12.65,1,5.0,1
Law,Law,303,240,60.45,55.0,63,5.45,1,3.0,1
Education,Chemistry Education,188,150,57.2,55.0,38,2.2,1,3.8,1
Arts, English and Literary Studies,251,150,61.65,55.0,101,6.65,1,2.8,1
Arts,Linguistics and Language,186,150,59.9,55.0,36,4.9,1,4.4,1
College of Medicine,Medicine and Surgery,208,260,56.2,55.0,-52,1.2,1,3.0,0
Education,Mathematics Education,294,150,76.1,55.5,144,20.6,1,4.4,1
Engineering,Civil Engineering,157,200,52.55,65.0,-43,-12.45,1,3.8,0
Social Sciences,Demography and Social Statistics,190,150,36.5,60.5,40,-24.0,1,1.6,0
Communications and Media Studies,Journalism,173,150,35.95,64.0,23,-28.05,1,2.0,0
Agriculture,Soil Science and Land Resources Management,283,150,65.45,55.0,133,10.45,1,4.6,1
Social Sciences,Psychology,220,150,59.0,64.5,70,-5.5,1,5.2,0
Basic Medical Science,Nursing Science,164,150,43.6,55.0,14,-11.4,1,3.8,0
Education,Mathematics Education,176,150,60.4,55.5,26,4.9,1,4.8,1
Agriculture,Animal Production and Health,344,150,67.6,61.3,194,6.3,1,3.2,1
Management Sciences,Accounting,212,200,51.8,55.0,12,-3.2,1,4.0,0
Education,Biology Education,247,150,67.05,55.0,97,12.05,1,4.0,1
Agriculture,Crop Science and Horticulture,159,150,51.85,57.3,9,-5.45,1,3.6,0
Agriculture,Crop Science and Horticulture,324,150,77.6,57.3,174,20.3,1,3.8,1
Social Sciences,Geography,282,150,60.3,55.0,132,5.3,1,3.6,1
Science,Mathematics,252,150,54.8,55.5,102,-0.7,1,3.4,0
Environmental Design and Management,Quantity Surveying,324,170,72.6,60.5,154,12.1,1,2.8,1
Social Sciences,Geography,145,150,39.75,55.0,-5,-15.25,1,1.6,0
Management Sciences,Finance,219,160,56.85,55.0,59,1.85,1,4.8,1
Education,Human Kinetics,280,150,59.0,54.9,130,4.1,1,3.4,1
Management Sciences,Finance,223,160,49.45,55.0,63,-5.55,1,3.2,0
Environmental Design and Management,Architecture,344,210,66.6,66.25,134,0.35,1,3.0,1
Agriculture,Soil Science and Land Resources Management,165,150,42.75,55.0,15,-12.25,1,3.6,0
Arts,History and International Studies,347,180,70.05,67.8,167,2.25,1,3.6,1
Education,Mathematics Education,213,150,57.95,55.5,63,2.45,1,3.2,1
Law,Law,280,240,73.0,55.0,40,18.0,1,4.2,1
Social Sciences,Geography,167,150,53.05,55.0,17,-1.95,1,3.6,0
Law,Law,158,240,39.7,55.0,-82,-15.3,1,3.2,0
Education,Physics Education,181,150,57.15,53.6,31,3.55,1,4.0,1
Basic Medical Science,Medical Laboratory Science,253,200,66.95,72.3,53,-5.35,1,3.8,0
Engineering,Mechanical Engineering,195,200,64.25,65.0,-5,-0.75,1,5.0,0
Environmental Design and Management,Building,173,170,45.95,57.5,3,-11.55,1,2.0,0
Management Sciences,Business Administration,324,200,71.6,55.0,124,16.6,1,4.6,1
Social Sciences,Psychology,282,150,72.3,64.5,132,7.8,1,4.0,1
College of Medicine,Medicine and Surgery,326,260,76.9,55.0,66,21.9,1,3.6,1
Engineering,Civil Engineering,293,200,58.95,65.0,93,-6.05,1,3.0,0
Management Sciences,Finance,298,160,72.7,55.0,138,17.7,1,3.6,1
Management Sciences,Finance,287,160,55.05,55.0,127,0.05,1,2.4,1
Environmental Design and Management,Quantity Surveying,348,170,68.2,60.5,178,7.7,1,3.2,1
College of Medicine,Medicine and Surgery,267,260,60.05,55.0,7,5.05,1,4.0,1
Arts,History and International Studies,203,180,51.45,67.8,23,-16.35,1,4.2,0
Agriculture,Food Science and Technology,340,150,69.0,58.0,190,11.0,1,3.6,1
Social Sciences,Economics,216,180,54.4,63.75,36,-9.35,1,4.4,0
Engineering,Computer Engineering,235,200,58.25,64.3,35,-6.05,1,4.6,0
Engineering,Mechanical Engineering,189,200,52.35,65.0,-11,-12.65,1,2.8,0
Basic Medical Science,Physiology,324,180,77.6,61.5,144,16.1,1,3.8,1
Pharmacy,Doctor of Pharmacy,297,240,69.55,55.0,57,14.55,1,3.0,1
College of Medicine,Medicine and Surgery,331,260,76.65,55.0,71,21.65,1,3.4,1
Science,Botany,281,150,66.15,53.5,131,12.65,1,4.8,1
Social Sciences,Sociology,184,160,56.6,63.95,24,-7.35,1,3.8,0
Engineering,Mechanical Engineering,287,200,74.05,65.0,87,9.05,1,4.2,1
Management Sciences,Business Administration,181,200,39.15,55.0,-19,-15.85,1,2.4,0
Management Sciences,Public Administration,159,160,56.85,55.0,-1,1.85,1,4.6,0
Law,Law,348,240,70.2,55.0,108,15.2,1,3.6,1
Science,Statistics,338,150,77.7,54.5,188,23.2,1,3.4,1
Basic Medical Science,Physiology,206,180,54.9,61.5,26,-6.6,1,4.8,0
Communications and Media Studies,Broadcasting,281,150,55.15,64.0,131,-8.85,1,2.6,0
Basic Medical Science,Nursing Science,297,150,56.55,55.0,147,1.55,1,2.4,1
Basic Medical Science,Radiology and Radiography,154,200,40.1,71.3,-46,-31.2,1,3.4,0
Environmental Design and Management,Architecture,259,210,50.85,66.25,49,-15.4,1,2.4,0
Communications and Media Studies,Journalism,248,150,51.2,64.0,98,-12.8,1,2.8,0
Engineering,Agricultural and Bio-Resources Engineering,230,160,69.5,55.0,70,14.5,1,5.0,1
Management Sciences,Public Administration,326,160,67.9,55.0,166,12.9,1,3.8,1
Agriculture,Water Resources Management and Agrometeorology,162,150,40.3,55.0,12,-14.7,1,3.2,0
Environmental Design and Management,Survey and Geo-informatics,336,150,81.4,55.0,186,26.4,1,4.2,1
Education,Biology Education,195,150,43.25,55.0,45,-11.75,1,2.8,0
Management Sciences,Public Administration,243,160,51.45,55.0,83,-3.55,1,3.0,0
College of Medicine,Medicine and Surgery,253,260,52.95,55.0,-7,-2.05,1,3.0,0
Arts,Linguistics and Language,178,150,53.7,55.0,28,-1.3,1,3.4,0
Basic Medical Science,Anatomy,342,180,81.3,63.3,162,18.0,1,4.0,1
Arts, English and Literary Studies,165,150,40.75,55.0,15,-14.25,1,3.2,0
Engineering,Meterials and Metallurgical Engineering,226,150,50.9,55.0,76,-4.1,1,3.4,0
Arts,Theatre and Media Arts,290,200,74.5,65.8,90,8.7,1,4.2,1
Social Sciences,Economics,174,180,44.1,63.75,-6,-19.65,1,3.6,0
Social Sciences,Criminology and Security Studies,226,200,53.9,55.0,26,-1.1,1,4.0,0
College of Medicine,Medicine and Surgery,186,260,56.9,55.0,-74,1.9,1,3.8,0
Environmental Design and Management,Urban and Regional Planning,263,150,56.45,56.0,113,0.45,1,3.4,1
Basic Medical Science,Medical Laboratory Science,232,200,65.8,72.3,32,-6.5,1,4.2,0
Basic Medical Science,Anatomy,221,180,62.15,63.3,41,-1.15,1,3.8,0
Communications and Media Studies,Pulic Relations,266,150,69.9,55.0,116,14.9,1,4.0,1
College of Medicine,Medicine and Surgery,150,260,38.5,55.0,-110,-16.5,1,3.2,0
Agriculture,Hospitality and Tourism Management,141,150,38.15,58.45,-9,-20.3,1,3.4,0
College of Medicine,Medicine and Surgery,296,260,71.4,55.0,36,16.4,1,3.4,1
Education,Biology Education,246,150,54.9,55.0,96,-0.1,1,3.6,0
Management Sciences,Public Administration,316,160,74.4,55.0,156,19.4,1,3.4,1
Arts,Theatre and Media Arts,261,200,61.15,65.8,61,-4.65,1,4.4,0
Arts, English and Literary Studies,217,150,46.55,55.0,67,-8.45,1,2.8,0
Environmental Design and Management,Urban and Regional Planning,252,150,60.8,56.0,102,4.8,1,2.6,1
Environmental Design and Management,Survey and Geo-informatics,311,150,70.65,55.0,161,15.65,1,4.8,1
Arts,History and International Studies,219,180,64.85,67.8,39,-2.95,1,4.4,0
Pharmacy,Doctor of Pharmacy,174,240,54.1,55.0,-66,-0.9,1,3.6,0
College of Medicine,Medicine and Surgery,250,260,54.5,55.0,-10,-0.5,1,3.4,0
Basic Medical Science,Anatomy,289,180,64.35,63.3,109,1.05,1,4.2,1
Pharmacy,Doctor of Pharmacy,300,240,71.0,55.0,60,16.0,1,3.2,1
Science,Botany,181,150,54.15,53.5,31,0.65,1,3.4,1
Basic Medical Science,Radiology and Radiography,267,200,55.05,71.3,67,-16.25,1,3.0,0
Engineering,Meterials and Metallurgical Engineering,270,150,63.5,55.0,120,8.5,1,2.6,1
Education,Guidance and Counselling,231,150,44.65,59.05,81,-14.4,1,2.0,0
Engineering,Mechanical Engineering,230,200,64.5,65.0,30,-0.5,1,4.0,0
Science,Biochemistry,150,180,45.5,63.75,-30,-18.25,1,4.6,0
College of Medicine,Medicine and Surgery,337,260,80.55,55.0,77,25.55,1,4.0,1
Science,Chemistry,157,150,52.55,62.5,7,-9.95,1,3.8,0
Communications and Media Studies,Mass Communication,350,220,64.5,66.3,130,-1.8,1,2.4,0
College of Medicine,Medicine and Surgery,321,260,72.15,55.0,61,17.15,1,4.8,1
Education,Guidance and Counselling,169,150,58.35,59.05,19,-0.7,1,4.6,0
Pharmacy,Doctor of Pharmacy,235,240,46.25,55.0,-5,-8.75,1,2.2,0
Management Sciences,Accounting,325,200,72.75,55.0,125,17.75,1,2.8,1
Arts,Linguistics and Language,228,150,45.2,55.0,78,-9.8,1,2.2,0
Management Sciences,Accounting,325,200,64.75,55.0,125,9.75,1,3.2,1
Law,Law,321,240,73.15,55.0,81,18.15,1,3.0,1
Education,Library and Information Science,180,150,43.0,64.5,30,-21.5,1,3.2,0
Communications and Media Studies,Pulic Relations,172,150,40.8,55.0,22,-14.2,1,3.0,0
Science,Microbiology,192,180,46.8,65.75,12,-18.95,1,3.6,0
Arts, English and Literary Studies,268,150,66.2,55.0,118,11.2,1,3.2,1
Environmental Design and Management,Building,163,170,43.45,57.5,-7,-14.05,1,3.8,0
Environmental Design and Management,Architecture,176,210,55.4,66.25,-34,-10.85,1,3.8,0
Engineering,Mechatronics Engineering,195,220,42.25,65.0,-25,-22.75,1,2.6,0
Environmental Design and Management,Architecture,336,210,65.4,66.25,126,-0.85,1,3.0,0
Arts,History and International Studies,189,180,52.35,67.8,9,-15.45,1,2.8,0
Communications and Media Studies,Journalism,153,150,49.95,64.0,3,-14.05,1,3.4,0
Communications and Media Studies,Mass Communication,186,220,45.9,66.3,-34,-20.4,1,3.6,0
Management Sciences,Finance,323,160,77.45,55.0,163,22.45,1,3.8,1
Social Sciences,Sociology,186,160,50.9,63.95,26,-13.05,1,4.6,0
College of Medicine,Medicine and Surgery,344,260,80.6,55.0,84,25.6,1,3.8,1
